gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.461267346161740213e-02,-4.646142211745126621e-02,-1.343864153467693758e-02
-2.378574847133975781e-02,3.050395386339049483e-02,1.134905401338824615e-01
1.125712229727805942e-02,-3.781920997821290598e-02,-4.881424258180082874e-03
-1.440782040271042404e-03,8.310451639485526981e-03,-4.473010669396610545e-02
-7.297713918717639234e-03,-2.289255322962510317e-02,1.394188722353146594e-02
2.564972770534609120e-02,-3.700319817821807328e-02,-1.033834711283313779e-01
-1.822503093485782974e-02,2.039068224341070504e-02,2.766319027989088547e-02
-4.321769147232478597e-02,3.916895468127900258e-03,-4.253087188697646931e-02
-3.205429051811437609e-03,-8.607615281573846588e-03,1.369245234826829694e-02
7.321151650909636655e-02,2.149742285150988211e-02,-1.081982661407147363e-02
4.140009907317639820e-02,-6.876582967718128381e-02,-1.944124780902608401e-02
-4.995385272473927725e-04,2.016082322666892541e-03,7.485761584956897655e-03
-1.865402495469213606e-02,4.853368525358148222e-02,-1.116342197856623822e-02
-2.264774661893806385e-02,-2.579330264064497516e-02,2.841550295608550117e-02
-5.622933916226472567e-02,-3.258148943931649805e-02,-3.831984376292184996e-02
1.098137451284010718e-01,6.481387441227996760e-02,-4.546895395022932523e-02
5.071539262983294077e-02,1.074629030852706640e-01,-6.611100864597546298e-04
5.256606781605093620e-03,-8.007954136454774330e-02,3.596012768783894697e-02
2.031078672895437684e-02,-2.599167061457241957e-03,-3.861083198152388124e-02
1.067749881959964287e-01,3.781818141327607241e-02,-3.392893848634934845e-02
-3.215146064378150703e-04,5.648589356191130451e-02,3.893552788293964256e-02
8.231060779993708276e-02,-3.045991232769655263e-02,1.238912796293626176e-02
1.635158098647176419e-03,-3.326481409625875463e-02,1.392450923443716918e-02
-1.084647166779355125e-02,4.609809700560947576e-02,-2.747169348278483830e-02
2.922922513590175964e-02,1.872478874514645411e-02,2.872832878697158254e-02
4.971398085279202933e-02,-6.055725157440427359e-02,-2.009403877967701549e-02
1.034325427539314890e-02,3.541096047750880160e-02,-6.941153513104748873e-02
4.909791484749296414e-02,-8.522880674897159725e-02,1.817438229282948223e-02
3.981135735800939157e-02,-8.418680240639793422e-02,-2.849590822486786426e-02
-1.760475789386429027e-02,3.362996898318666023e-02,5.294448128163922046e-02
8.600724589859280733e-02,2.614101667703341500e-02,3.776061617265196596e-02
1.593076367585235381e-02,-3.959844523259841570e-02,2.945278631056964802e-02
4.096739276552745918e-02,-3.842213643578024779e-02,1.141043738728779108e-02
2.812753810732464277e-02,2.720440220630926040e-02,-1.687957134193611430e-02
-4.630799723389894540e-03,-2.815105035708802272e-03,1.313654236736898073e-01
-5.508888403252729105e-02,8.791040796411397906e-02,-5.824657450387133416e-03
6.418454121216321528e-02,-1.165302189899026196e-02,-7.517080273934721897e-03
2.565805018972879339e-02,-7.542198612209014344e-04,-2.349643503417700799e-02
8.635717970365197269e-03,8.236300210476294598e-03,-1.007479569532438168e-01
5.608657342797299106e-02,4.230216422782857866e-02,-5.778937327721627576e-02
1.788300334296984498e-02,-1.304704567786563706e-02,4.814266785629327250e-02
-6.708636069023166115e-03,4.965506210557072385e-03,2.764746010573266785e-02
-8.448580325965204807e-02,-9.771599617881305752e-03,4.313816856938739591e-02
-4.822247908879553902e-02,2.418096528917218144e-02,-1.782404516500753905e-02
5.039839202924389049e-03,-1.973949127578795634e-02,-1.902091891971654028e-02
4.401196713797985577e-02,3.900632366605530366e-02,-2.390150920928927475e-02
-7.002117539937746660e-02,9.911255311173658347e-04,-1.561251465762113384e-02
2.345653149127211942e-02,-2.945556295841154221e-02,-1.427787361416814338e-02
