mag_x (uT),mag_y (uT),mag_z (uT)
3.259760159654736356e+01,-3.529485434181336423e+00,3.754868943809567838e+01
3.258054606018208688e+01,-3.537439680211398763e+00,3.753167064140748010e+01
3.258331126863532745e+01,-3.535023528276642235e+00,3.753514324912678291e+01
3.257917990616057580e+01,-3.531485856717067939e+00,3.755344212792012826e+01
3.255810916348924877e+01,-3.521922974627927694e+00,3.753764093704220528e+01
3.257680056784359834e+01,-3.536636520884815393e+00,3.754411382111521789e+01
3.257832984272625509e+01,-3.534322261339921223e+00,3.754329571155103906e+01
3.257943261567898219e+01,-3.533491688765720617e+00,3.755368679252040209e+01
3.258960137764971421e+01,-3.532050421015544561e+00,3.754429361224216422e+01
3.257799090579901957e+01,-3.532952632853677333e+00,3.753269976676819653e+01
3.257787812590162702e+01,-3.536523845458858784e+00,3.754442240864522518e+01
3.257844040850115874e+01,-3.544327768845111581e+00,3.752614969333742323e+01
3.258406391098459665e+01,-3.540636583058247577e+00,3.754410840776208858e+01
3.257369019287588685e+01,-3.527834451722908327e+00,3.755408465136786589e+01
3.259268833604516402e+01,-3.524429194054305103e+00,3.752061764808090061e+01
3.258027779974825222e+01,-3.537200912574565148e+00,3.751563732745922408e+01
3.259035236286284487e+01,-3.538212728685796282e+00,3.752697607857366791e+01
3.256047928592420249e+01,-3.539611016778080543e+00,3.754141526043942179e+01
3.256568256239955872e+01,-3.531322963238773038e+00,3.753893049739750865e+01
3.258200636747338308e+01,-3.548071346332001941e+00,3.753974150099794116e+01
3.257716930084109208e+01,-3.522721171715601063e+00,3.752616781380386612e+01
3.257454033985809616e+01,-3.531254998205362927e+00,3.753796710414847126e+01
3.257644495134528739e+01,-3.546843175224574374e+00,3.753070162332686976e+01
3.260042262585486839e+01,-3.532512391568317422e+00,3.754381821578810019e+01
3.257553768843698805e+01,-3.535403833196608225e+00,3.754743332767306185e+01
3.257462230593748842e+01,-3.534467044429998150e+00,3.753739055302257555e+01
3.258734540372022792e+01,-3.530914689431994269e+00,3.754309585203623811e+01
3.259391630193434963e+01,-3.525214971609710535e+00,3.750862806593666221e+01
3.259139836788511246e+01,-3.529720839461949478e+00,3.754352050825541909e+01
3.256746868037728149e+01,-3.527961875778430123e+00,3.754075167388812417e+01
3.258080293602233013e+01,-3.535509915664099445e+00,3.753850155002916011e+01
3.259935072934824518e+01,-3.538962933393938748e+00,3.755017180882735062e+01
3.258588432958296721e+01,-3.528278684626382944e+00,3.753804778924077823e+01
3.257755932377522612e+01,-3.545423067913243909e+00,3.755022368611828654e+01
3.259273625654319773e+01,-3.524601271145721526e+00,3.753396040063691430e+01
3.257659174671711355e+01,-3.536183880300568294e+00,3.754920089160200547e+01
3.257490202605242047e+01,-3.525431823948229848e+00,3.753393729040845983e+01
3.257942005079848968e+01,-3.528765886053027767e+00,3.754335371800416965e+01
3.258913331619401532e+01,-3.530556839055611018e+00,3.753632148688758718e+01
3.259209713119351903e+01,-3.535547343588064440e+00,3.753470325096546389e+01
3.257247042272749837e+01,-3.520186265256840308e+00,3.752750388727508835e+01
3.260216008904819063e+01,-3.531859104347295553e+00,3.752709206369858919e+01
3.257683851092310334e+01,-3.532047174352853869e+00,3.755474442616233688e+01
3.259533138845988987e+01,-3.537247924169190760e+00,3.754121723163718372e+01
3.259491264171150249e+01,-3.525022767340914243e+00,3.754708188844396233e+01
3.257664368862909754e+01,-3.537219937594127561e+00,3.754613083281315511e+01
3.259022032674779012e+01,-3.557283366615813236e+00,3.753972812662914293e+01
3.258762187636696694e+01,-3.545208760710639950e+00,3.752510775273258048e+01
3.257976999102574922e+01,-3.510309941777089549e+00,3.753123280261411310e+01
3.257448130819503263e+01,-3.538185246989172583e+00,3.753314839304177752e+01
3.258715807294283451e+01,-3.530091805763948543e+00,3.755108002910189668e+01
3.257195302931020819e+01,-3.534222374436195580e+00,3.754374886405286560e+01
3.258328570220052711e+01,-3.545965633281485285e+00,3.753813526557853208e+01
3.257220496202310045e+01,-3.525104809029042663e+00,3.753367987545868800e+01
3.258731482004271385e+01,-3.545133960963428699e+00,3.752371641356037202e+01
3.259003979837863341e+01,-3.530403280808959376e+00,3.753471577128083680e+01
3.259156256876652691e+01,-3.523039373560719945e+00,3.753782172623321856e+01
3.257358978474849209e+01,-3.535293854226977395e+00,3.755344954152509018e+01
3.256146640541113868e+01,-3.540247668559317162e+00,3.750860800165637698e+01
3.257298313922376565e+01,-3.535639450278225571e+00,3.753501993865177866e+01
3.257632022558189533e+01,-3.529016320857137679e+00,3.752834494231412776e+01
3.257775545017369723e+01,-3.527360307623083280e+00,3.752643644993251826e+01
3.258502055034050215e+01,-3.531365329509243534e+00,3.753070814438433445e+01
3.258946089650221012e+01,-3.528116809567066969e+00,3.753669523165513056e+01
3.257822422551376462e+01,-3.535446434521661629e+00,3.753998829247701963e+01
3.256884021688080111e+01,-3.528126829462324032e+00,3.754712321503185990e+01
3.260644434660248692e+01,-3.537871992092898044e+00,3.754181787177506635e+01
3.257642795256955282e+01,-3.538663964304776588e+00,3.752835241923911269e+01
3.259004463740078705e+01,-3.543727561862738185e+00,3.752172908937923523e+01
3.258954237474743110e+01,-3.573866355205802314e+00,3.754048061702555827e+01
3.259177399035763756e+01,-3.536206364634416399e+00,3.752926012974820935e+01
3.258731768032047427e+01,-3.541188181603131646e+00,3.753719120464001691e+01
3.258246087662114121e+01,-3.522976035229140823e+00,3.753873817822061909e+01
3.258980243540164423e+01,-3.556354527263360321e+00,3.753331399568057947e+01
3.258073735933248116e+01,-3.548581160057213246e+00,3.753471835107260546e+01
3.257766017301714356e+01,-3.517395666707315627e+00,3.753948895211114234e+01
3.257381372434210220e+01,-3.540858457612100718e+00,3.753426583362385571e+01
3.257982800642805188e+01,-3.526031287297224370e+00,3.752618142897913600e+01
3.258628053689837856e+01,-3.536987297391837703e+00,3.756938252978714843e+01
3.257580697409687076e+01,-3.527671853685673486e+00,3.753156299663442752e+01
3.258780194969986610e+01,-3.535052604428010170e+00,3.754744177717746823e+01
3.259695275903359857e+01,-3.550959929522429448e+00,3.753867122237263487e+01
3.258741446612180681e+01,-3.534413622299727109e+00,3.753542319096602142e+01
3.259318141867035479e+01,-3.554147119408527900e+00,3.752539459262700205e+01
3.259966981026894217e+01,-3.538546733493646901e+00,3.755873413359423552e+01
3.259340004264955581e+01,-3.539318239219678031e+00,3.755868880868931114e+01
3.258467186595279230e+01,-3.534412221323989467e+00,3.755224375600154474e+01
3.258868007838779590e+01,-3.553202186643871663e+00,3.754972742782990025e+01
3.255945673672955820e+01,-3.533033297671881012e+00,3.753364212345386619e+01
3.259038569120622242e+01,-3.526120071480370655e+00,3.753130284332406319e+01
3.258630830644047904e+01,-3.535565746497454587e+00,3.754525900527931270e+01
3.257149895768639425e+01,-3.530998802921693880e+00,3.753254509820268936e+01
3.257971402593054933e+01,-3.529421601762055438e+00,3.752368764835866699e+01
3.259377319403190398e+01,-3.513199223801505955e+00,3.754785547634873666e+01
3.259061136393966507e+01,-3.528896424090150141e+00,3.753433786154538154e+01
3.257206463415933229e+01,-3.532868005815791967e+00,3.753392686449642923e+01
3.257576065851693414e+01,-3.534664503058924545e+00,3.754562392930518655e+01
3.260180537558714065e+01,-3.528047247225806871e+00,3.754047858791296477e+01
3.257293261545030560e+01,-3.560312446758155946e+00,3.754266589456211989e+01
3.258557332052100719e+01,-3.530056121492896715e+00,3.754131951535660505e+01
3.256538167037895448e+01,-3.551205957391208035e+00,3.754118491243507805e+01
3.258789729824378867e+01,-3.521590861737472267e+00,3.755105603894293864e+01
3.257854261156576570e+01,-3.523931001202039948e+00,3.752863290751148639e+01
