accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
3.851604800635882037e-03,2.876773554506439901e-03,-9.797432661338213222e+00
2.500035251066230584e-03,-4.369010644245220100e-03,-9.793473814269141542e+00
-2.904568567295983793e-03,-4.284382396523712076e-03,-9.791186731826194034e+00
4.298929651653000277e-04,7.234230657170244785e-03,-9.794987253290619478e+00
-6.728317655641086713e-04,4.590844524184823326e-03,-9.795447258401575041e+00
-4.971556822629880253e-03,1.183872950812055267e-03,-9.793947993494501958e+00
3.870001479332362947e-03,-7.119453861440619988e-04,-9.796620836111729957e+00
4.527569267149058468e-03,-6.399659923755137737e-03,-9.794128365573110173e+00
1.168755668734762065e-03,4.566863324930955405e-03,-9.798252199262318385e+00
4.216340544896815014e-03,4.540080065093004928e-03,-9.785203723629592787e+00
1.884270377545976425e-03,1.184299835719308195e-03,-9.799268676600256356e+00
-5.857239290092084230e-03,1.438438153683246250e-03,-9.792353061871343911e+00
5.567484163580808552e-04,-1.393682079122684006e-02,-9.794213214164189552e+00
2.893793400383262975e-03,-3.378408153941796655e-03,-9.801974014065562457e+00
1.272137110676528063e-03,1.163625385695510632e-03,-9.789669963196052649e+00
-3.720214221292440001e-03,4.294538985362274935e-03,-9.792575379142785863e+00
1.339934278077233639e-03,-3.374520315388230066e-03,-9.789909784749212918e+00
-7.522632671253659878e-03,4.463823697323284628e-03,-9.791403475733527983e+00
3.170204883484776907e-03,-6.094339615036998377e-04,-9.791913518998345722e+00
4.660330271722786162e-04,-7.046442980213802904e-04,-9.790910053790922163e+00
1.103472269975039810e-03,-7.352187327656060749e-03,-9.791661880960091935e+00
1.911894846907087348e-03,3.977339263861331096e-03,-9.792142928905587240e+00
2.356484818689759918e-03,1.923397993787422664e-03,-9.791393515975169493e+00
-3.097327461828110456e-03,1.117541352833029827e-02,-9.790157822167030233e+00
-1.422413019841622678e-03,-4.959186447130987593e-03,-9.792619239717986090e+00
3.705967262290794668e-03,9.907318243068384024e-04,-9.796458978551719099e+00
4.373234625218714623e-03,-5.366955175213869965e-03,-9.794797455960084775e+00
3.873461782512083694e-03,7.149004262987724082e-03,-9.792282308379247624e+00
6.292377301001309854e-03,-2.407871300841858166e-03,-9.799278195080743714e+00
-2.760769227169017370e-04,-2.499939669745987903e-03,-9.792826217279586132e+00
-2.048817776406505579e-03,5.206892725490804008e-03,-9.798517005011227354e+00
-2.128864307990778991e-03,3.583926919983430014e-03,-9.801272704495143984e+00
4.118716481537419878e-03,-1.955975701275215403e-03,-9.794308377417696221e+00
-4.474767870443285313e-03,2.981273384768085444e-03,-9.789357646985552108e+00
8.768821446102444475e-03,1.622584949835000198e-03,-9.798212211931119242e+00
-1.572299142844493488e-03,1.189623097715449994e-03,-9.795772504492752830e+00
1.882590633964509753e-03,7.556741206935392932e-03,-9.792231407447188118e+00
-7.273071119220896052e-03,3.389545799568371466e-03,-9.791169617658363578e+00
8.299216652985526646e-03,-5.125346266105293425e-03,-9.792806088932792363e+00
-1.657491710700714077e-03,-9.346751533585317842e-05,-9.789404308361822515e+00
-2.794108505031595979e-03,-6.133391677322038056e-03,-9.790867777019741425e+00
-1.024653746788560396e-03,-2.731980179668484256e-03,-9.799403225921002658e+00
-1.206297241553925571e-02,-1.389997126700711358e-03,-9.797876741348980900e+00
-1.656860191543603478e-03,-8.811868875977568738e-03,-9.800782914297883508e+00
-1.716782603675574186e-03,6.684221881116649000e-03,-9.794896390686940180e+00
-4.031700670649717442e-04,-1.203867409318658569e-03,-9.800519392206396674e+00
5.582127936388476402e-03,-9.815166208910288542e-03,-9.793036056802471023e+00
5.490510671067725355e-03,-8.913637433259867515e-03,-9.795545450745255067e+00
-5.156718869946540391e-04,-4.445336045018851746e-03,-9.791957220950971319e+00
4.383533027391297784e-03,1.015399429608081563e-02,-9.793041591229183496e+00
9.964760999055400498e-03,-3.343854398311752341e-03,-9.794009545167119413e+00
5.614231250392365605e-03,-1.399534952428631426e-03,-9.794982944724349494e+00
-7.409413155912127069e-03,4.574404571546823554e-03,-9.808223331145264012e+00
1.196966889470275691e-03,-1.987016201024081365e-04,-9.786530469854934466e+00
2.046957882507530885e-03,7.250593257362582364e-05,-9.800163044272776958e+00
5.366377162271726738e-03,8.258317726177428347e-03,-9.797642164784495122e+00
1.940123555145382766e-03,2.487941196135264738e-03,-9.795121484162610415e+00
-8.445274426362953200e-04,-2.682266136343698908e-03,-9.789650109426325741e+00
-2.772853414661463622e-03,-4.578273652192755639e-05,-9.788445497087703728e+00
4.942081191710394735e-05,4.580829642217774424e-03,-9.789940515082260930e+00
2.583067814466002542e-03,8.584964932103048875e-04,-9.798032365161214230e+00
5.177163284803194300e-03,7.782416575610745383e-04,-9.798705245822249665e+00
-6.007034579592331232e-03,2.118131444157257508e-03,-9.795255206361552780e+00
2.693513818742074815e-03,1.906637142180297789e-03,-9.789509190856749754e+00
-1.561277977315176724e-03,7.776406205665006540e-04,-9.792661651023458091e+00
1.570128326742667056e-03,-4.299517389978324035e-03,-9.786072157411862094e+00
-2.086478918386164543e-03,5.665798279017404335e-03,-9.790467012147908932e+00
9.846923501739802964e-03,6.518120687063560202e-03,-9.799531047625398728e+00
1.732687820775580863e-03,-3.780449961537760400e-03,-9.800734918274823571e+00
-9.204093414066839840e-03,-1.039853051104865436e-03,-9.797529946203066942e+00
3.579647365298179330e-03,5.163964710487797989e-03,-9.798927421433877072e+00
8.773824095495355926e-03,6.723972267307386230e-03,-9.781464611422441280e+00
-4.986126921651450050e-03,5.069399263575101455e-03,-9.800950560792820454e+00
-1.181075614094927216e-03,3.887586839602950265e-03,-9.798499650588073706e+00
1.682055331538152192e-03,2.548229552527554037e-03,-9.802099198745992226e+00
5.010345052218643722e-03,6.380183509738093089e-03,-9.797975694336326313e+00
-7.194184524316501843e-03,-2.984942452571990494e-04,-9.795065964054199270e+00
-1.859656435442306240e-03,-7.284539126987948400e-03,-9.794600156732398588e+00
3.161540630532643902e-03,2.152884706252972211e-03,-9.796059051821522701e+00
-1.197978175860211309e-03,-1.058116971947829429e-02,-9.786479521696913153e+00
-8.433100461393029917e-04,5.100536626237286986e-03,-9.795216027014937765e+00
-3.197380176543276192e-04,-7.865742843302556478e-03,-9.790978455203887876e+00
4.096778329839105819e-04,-5.562246198005420944e-03,-9.793223228268153946e+00
2.194247480162806949e-03,-4.048042754080592200e-03,-9.796826256988598658e+00
-1.197959120071815080e-03,-2.634046748364634281e-03,-9.802870278573955432e+00
-4.922556200432214035e-03,-1.708158697130732250e-03,-9.798591147963621850e+00
-2.876605415507446444e-04,3.950927728599943310e-03,-9.788827360307100989e+00
-8.730045495104490037e-04,-1.918481368876778391e-04,-9.787262338495674285e+00
6.079553749413521384e-03,-8.575395396624989775e-04,-9.789196265893119531e+00
-7.102482349466258688e-04,-1.264895631086554798e-03,-9.795711931757525193e+00
-8.599057475193398747e-03,-5.363988580693486441e-03,-9.793434115557090536e+00
-2.443031061368775101e-03,-5.197036029222995915e-03,-9.801894492931481295e+00
1.135961703422078400e-03,2.314808859812814926e-03,-9.798886929625709286e+00
2.829537247713937928e-03,6.958388043761492940e-03,-9.793607189993489115e+00
2.885159514967804498e-03,-7.864735406144554922e-03,-9.796038545637875572e+00
-6.371050148414844280e-03,-8.943008177892943986e-03,-9.797761486312486667e+00
9.122724509845000660e-04,-3.421834730290972126e-03,-9.795837754408502462e+00
3.435741731131165128e-03,4.495665047327336203e-04,-9.794386140005327590e+00
7.980863383568842853e-03,-4.487052538291054146e-03,-9.788671273679558027e+00
-7.748299773035073612e-03,1.636835776394055062e-03,-9.788423367487720128e+00
-3.841929093289464265e-03,-7.288445794928839934e-03,-9.795285187804395832e+00
-5.013889494228355830e-03,3.881852672915550410e-03,-9.793191950699021930e+00
4.475023156902280946e-03,-4.367322279924901705e-03,-9.793605846932901926e+00
-9.985086922045156160e-03,-1.984228492097623708e-03,-9.785378119688358467e+00
3.272668864207065997e-03,5.528219648718782700e-03,-9.800238538944213929e+00
2.532176418480705082e-03,1.667784768056045910e-03,-9.798757397393584867e+00
3.778497023248996931e-03,-3.659058227778853693e-03,-9.784666778049855296e+00
-9.602591614031091762e-04,1.420060905497094739e-03,-9.789328659975579328e+00
1.051570503908908459e-02,-7.035254417097022185e-03,-9.792239285951788830e+00
4.994868763666338030e-03,-2.030191793903702094e-03,-9.790562957768997876e+00
-6.761856430125602353e-04,2.421441353894920618e-03,-9.801461362519724219e+00
5.727736258530230842e-03,-2.714989839404100165e-03,-9.795650359294352683e+00
2.718625367126458262e-03,7.518238663092741960e-04,-9.797127874850284357e+00
-9.101330127990241159e-03,1.339168158041463552e-03,-9.792135741673542171e+00
8.926291518299969609e-04,-2.613367355115087630e-03,-9.799287011522666901e+00
2.716322347720944233e-03,9.672336516009197738e-04,-9.793365583217852333e+00
-3.794173134359340571e-03,-6.041389598662446313e-03,-9.788724658673064738e+00
5.068067129916222846e-04,5.873891136457833756e-03,-9.796001233219636006e+00
2.029202682504242274e-03,4.343746186093420079e-03,-9.787458342790248622e+00
-2.258236495128906028e-03,-8.979666325806006820e-04,-9.788968289558651392e+00
-2.115948659692202215e-03,2.796091981712971446e-03,-9.795543004047935653e+00
-2.862874132041090796e-03,5.335343073454543866e-03,-9.797753275492631531e+00
2.270170684446208217e-03,1.226858610867768420e-03,-9.787888738396469890e+00
-2.416569106869193538e-03,2.727232771088815635e-03,-9.797727715788868252e+00
-4.390794884580859030e-03,-4.803748557711839972e-04,-9.792489006351848602e+00
2.806353688573451008e-03,-5.751188850850733579e-03,-9.800130764955159890e+00
4.061071500987777604e-03,-2.055906002500113103e-03,-9.804004290774610553e+00
7.260213588636330387e-03,-3.424619302121743696e-03,-9.792592046626143798e+00
3.210410819862410947e-03,2.767040497073346150e-03,-9.786264102584091518e+00
3.714371343990639091e-03,-4.998722702463392724e-03,-9.796621161815943779e+00
-9.828569539899991087e-05,-4.121273716221836997e-03,-9.794130449168022778e+00
5.679195241436491189e-03,-2.653026376860372938e-03,-9.794245204183637199e+00
-2.927163135997958542e-03,-3.884604570674321002e-03,-9.799794484471984646e+00
-2.827267238410160165e-03,-1.552008058344411183e-04,-9.792692849071119809e+00
-6.740513787774161068e-03,3.017192313758680633e-03,-9.788640859178427078e+00
-2.505123248282797692e-04,-3.404947672161294688e-03,-9.793801590246561162e+00
-7.014770625081213386e-04,-4.993644817076297454e-03,-9.786013237664297648e+00
-2.704204693475813649e-04,6.876392534752123059e-03,-9.787481552824358388e+00
-3.558562300824089520e-03,-1.159727233442333326e-02,-9.788417799553123189e+00
9.704183823136300346e-03,4.739730381873522545e-03,-9.788038868379899782e+00
5.249276873665246037e-04,1.019924838591516501e-03,-9.803175252676982865e+00
-2.714887311561711356e-03,1.649941331352520113e-03,-9.802181314184482019e+00
-3.836773284300572153e-03,-8.224270885568301520e-03,-9.792346557488567527e+00
-2.013076580828776930e-03,1.696927832639753570e-03,-9.805852273800717001e+00
1.337583951654540805e-03,3.890504490852937213e-03,-9.801438302563154181e+00
8.638347255279755447e-04,-3.472892867336284817e-03,-9.792226035169962373e+00
8.647303626113399255e-03,3.651231332095646563e-03,-9.792265530040106469e+00
9.063731746006920085e-04,3.433698607847532076e-03,-9.803199929844790717e+00
2.045767321894158882e-03,-1.293977377897669295e-03,-9.793615379317362368e+00
1.552606810348998619e-03,2.512472050076466814e-03,-9.806148865314860075e+00
6.550419227282962449e-03,-1.621027014258942045e-03,-9.801980728153266043e+00
9.653580631601215920e-04,-2.427346914371798260e-03,-9.790743819507627066e+00
3.820874422402253945e-03,-2.861011380440374192e-03,-9.799858390493371374e+00
8.179209593397556571e-03,-4.072843167276262756e-03,-9.797145584684065156e+00
4.207445767199076382e-04,7.773227488470621548e-04,-9.796939614780061589e+00
2.394441972099979696e-03,1.110201243471286257e-02,-9.796205859343384503e+00
-3.282707856561383614e-03,-3.574940643571523306e-03,-9.797401886857578290e+00
-1.499746141290903662e-04,6.120057653056450858e-03,-9.788755780894652148e+00
-5.516497151793000459e-03,9.473987125057055977e-04,-9.800547700257256523e+00
-1.171691962933791090e-02,2.674381140557145764e-03,-9.794971180726907534e+00
-3.444754606841140231e-03,-1.178115895365094761e-03,-9.795039994671544292e+00
1.892610553291721766e-03,-7.246621769896907476e-04,-9.798926039687358980e+00
2.416115894527846690e-03,2.631440434838611814e-03,-9.786129119556289169e+00
-5.472665469307008007e-03,2.003021963112255974e-03,-9.790111282084136946e+00
-2.357329491809449090e-03,-1.603977751550341628e-03,-9.803682246805957234e+00
-3.608724631334229473e-03,3.262176453940350031e-03,-9.797245494153361989e+00
-6.805519669309484897e-03,-6.446771709963437444e-03,-9.799429257352310074e+00
8.844728753636707345e-04,-2.662712937782921001e-03,-9.797660991491788707e+00
6.667935707842738251e-03,-6.022172885750404561e-03,-9.801381365743949914e+00
9.874685870965960177e-03,4.536413487180140404e-03,-9.795918218996510163e+00
4.447196891997260391e-03,2.366593130223101568e-03,-9.794180340623123371e+00
1.139653927698354441e-02,1.696478363168249775e-03,-9.793115085760812022e+00
4.937526169730878248e-04,8.919392469343773860e-03,-9.795315205666712544e+00
-2.459050026461521293e-03,-4.276292563675568033e-04,-9.804006188640240538e+00
-3.215417801170082461e-03,-8.193428676926420295e-03,-9.792427107239833006e+00
7.937632636600321090e-03,-7.280137104289010480e-04,-9.784133769224986565e+00
-8.072039367497743645e-03,-1.766616579968822466e-03,-9.794498186165919051e+00
-4.441702296168111366e-03,6.563186865748415165e-03,-9.795061465433549941e+00
3.125902195331526842e-03,-2.828596084502762054e-03,-9.794262538005613195e+00
-5.165008135335298102e-03,-4.599284155214619836e-04,-9.802075391671573712e+00
-1.288103753234252219e-02,4.438559951338917273e-03,-9.793196138078293700e+00
3.290773336018727041e-03,-2.895673748103308118e-03,-9.806743638835175858e+00
-4.178730293416400843e-03,-1.759060394424020145e-03,-9.801111750483471496e+00
-1.348059949930942043e-03,8.414289130051867205e-04,-9.793596400443348671e+00
-8.370433022289973509e-04,2.250480968101144837e-03,-9.792165334483696526e+00
1.132831196920652686e-03,1.289702661039075467e-03,-9.797405627524765848e+00
-5.204434857744260137e-03,-1.424135203440914490e-03,-9.793487564474608220e+00
1.200669655792387623e-02,-4.736175002011441815e-03,-9.792828980737997568e+00
4.304384786186000490e-03,-1.697434665123933413e-03,-9.794055867803812987e+00
-5.602691364340288763e-03,1.714341385444552663e-03,-9.800248966189814226e+00
-3.448394092009499003e-03,-1.406933661868591152e-03,-9.791670336881152181e+00
-3.821371555454298498e-03,-7.807039074181967853e-03,-9.785787290211919398e+00
-4.581979249109109989e-03,-1.654260337224496002e-03,-9.788483255052955911e+00
-5.264103721921788853e-03,-1.094416459846869749e-03,-9.790279142211458563e+00
-9.570721853353317179e-04,5.903336831666414902e-03,-9.788164473652788189e+00
-6.571991199048383796e-03,-6.633030487560210783e-03,-9.785839466371006878e+00
6.381852653365278037e-04,-1.068766959938811413e-02,-9.791644050587304804e+00
1.593493912624450700e-03,-3.285479483993866256e-03,-9.796333886020462955e+00
-2.510620677039054460e-03,5.633688530505681462e-03,-9.793872192842634661e+00
1.734531892492487939e-04,-3.287678031295768102e-03,-9.797236589406832508e+00
4.181216385980466091e-03,6.133221728864614829e-03,-9.791393770885420622e+00
-3.248733758320988211e-03,-2.432586578391778085e-03,-9.807968770737863551e+00
-2.207765231151865865e-03,-2.758010171567602548e-03,-9.798602173434286300e+00
-1.861608582931420638e-03,1.170047802419334378e-02,-9.798654547079783228e+00
-8.053951887103359686e-04,2.976708705908785203e-03,-9.796668680636642534e+00
-3.000783807087025173e-03,-4.825358323002393139e-03,-9.787134350799986393e+00
1.089231840144023675e-02,2.138677827533379944e-04,-9.796568992697565648e+00
-5.212487884236750683e-04,1.597795541116276080e-03,-9.798024407029624072e+00
-1.116794472195948521e-03,-1.114463365569739670e-02,-9.794821498037626029e+00
-4.147406707841766287e-03,1.320631382509939149e-03,-9.797527194519839000e+00
4.596138398041889860e-03,-6.599587477701744989e-03,-9.793719770348991105e+00
-7.739922080701892859e-03,-3.191979829435293622e-03,-9.798725201385918737e+00
-2.442138100165519490e-03,-2.163119109020859854e-03,-9.794201595331003318e+00
-5.134803152904493170e-03,1.596113123538444581e-03,-9.801689435788674132e+00
5.542319325642857709e-03,6.043225278307340874e-03,-9.795324414586776385e+00
8.952975490825113361e-03,-9.040492962506668784e-03,-9.795695753963812535e+00
5.993261328748428381e-03,9.219771580457784138e-03,-9.799464114619150124e+00
4.707098328318401817e-03,-2.975677170641308732e-03,-9.800752437209137469e+00
-1.094852630517972143e-03,-3.875323670270353071e-03,-9.792265677190160389e+00
-5.691113256798126198e-04,2.914207350500400660e-03,-9.798799716774917457e+00
6.142050948408622063e-03,2.863758288297667525e-03,-9.794204706947439831e+00
9.988772967761554850e-03,-5.805770675504974901e-03,-9.807286746974909875e+00
-4.656663251018417979e-03,2.271107675834390695e-03,-9.798779569475730256e+00
-1.169756351807446984e-03,-6.629685922640736993e-03,-9.792354251066656801e+00
-4.806085253506502336e-04,2.929475974566942299e-03,-9.794194970719045656e+00
-2.114752563589929624e-03,1.012291732488178678e-02,-9.788535776386245502e+00
-3.615752303536282335e-03,5.248744383274047548e-03,-9.789290651342140492e+00
3.547305871089167541e-03,3.726583992163668389e-03,-9.793132614846387085e+00
8.891106531445934534e-04,-8.171479941774308434e-03,-9.795792057548453613e+00
1.143741802955518900e-03,9.486264348938547655e-03,-9.801739434217045854e+00
4.422215644678939420e-04,1.263218903353822932e-03,-9.802518947665531002e+00
-5.535907442007080743e-04,5.587897307788188689e-03,-9.792445955779074396e+00
-3.273427723608911266e-03,-6.282321938378618298e-03,-9.795248752509442269e+00
-2.574269794817890013e-03,3.590026062885616487e-03,-9.797772426947105373e+00
-6.445262142650522901e-04,-4.194278671939897889e-03,-9.789074590952685284e+00
-7.055942280069030410e-03,-4.444127686033706379e-03,-9.792643866362123362e+00
-1.051601141905151270e-02,-8.549005922716941194e-03,-9.789825571800635728e+00
7.922448165962688374e-03,-1.255803468028247232e-03,-9.793879100142834915e+00
-1.419948580418474958e-02,-1.955286764490008714e-03,-9.792377672645976361e+00
-6.716520785925687506e-03,-3.174498530348561498e-03,-9.800665304688326529e+00
-2.311117717771737131e-03,-7.610842648588442977e-03,-9.797366577334216231e+00
