gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200000548478876539e+01,1.199998971623483470e+02,-2.231210996387430701e+00,-9.153131381684287415e-02,3.265965949062430655e-03,5.442645531084484845e-03
3.200008567419317984e+01,1.199999813574760736e+02,-7.721909080040376239e+00,9.721218516628958584e-03,1.655336166517576077e-02,1.119361786250754609e-01
3.200007252532921598e+01,1.199999939261584245e+02,-1.101969717451599801e-01,6.810510740697467424e-02,8.296310066924751647e-02,1.310849694713737447e-02
3.200008365391751397e+01,1.199999856044566968e+02,1.169853825931177038e+00,6.411550337300116198e-02,5.520286023207996579e-02,-3.278826212501270709e-02
3.199997780276086701e+01,1.200000809421256349e+02,1.531595392777905573e+01,-2.292540980574706965e-03,4.371273143998127830e-02,-4.973502892414708582e-02
3.200004167804699762e+01,1.199999489709288554e+02,4.524908920147965863e-01,3.487976738542981209e-02,-2.955206186411783037e-02,5.722640742224756327e-02
3.199998531661580259e+01,1.199999634451279320e+02,5.989528705512821460e+00,1.318904147654978778e-02,-1.031198198969172919e-02,9.459160344072060911e-02
3.200001385049744584e+01,1.200000270364819528e+02,1.815164124501687515e-01,3.173071939087362958e-02,-4.157503791789032149e-02,8.192816267607327951e-02
3.200004085536969001e+01,1.200000360192957487e+02,-5.511086331009668271e+00,3.323039380633246997e-02,-4.217875879233284886e-02,-1.006440461822692527e-02
3.200000686385741488e+01,1.199999850842638978e+02,1.266375498642200625e+01,-1.973395521943042356e-03,-2.112920940935497649e-02,4.661678346131825634e-02
3.199997685700651573e+01,1.200000262226169383e+02,-6.827270535999002909e+00,-6.316563838312705403e-02,2.284691236925781924e-02,2.671792586963144325e-02
3.199999840537864415e+01,1.199999755696881749e+02,-1.025246683873990072e+01,-9.362880104388714153e-02,-5.889939246785402295e-03,5.175528623275205305e-03
3.200002297881137991e+01,1.200000380647634302e+02,-7.204376741544847640e+00,-1.398512295832354813e-02,-1.976651144189675580e-02,9.948414715786110807e-02
3.200005868663480868e+01,1.200000656474623071e+02,-5.164369734256967881e+00,-9.529928746039247056e-02,-1.372812389052247613e-04,-1.069933016526148847e-02
3.199996400167142951e+01,1.200000350520086130e+02,-3.803672366994335530e+00,4.291911136551590511e-02,5.123195119689634425e-02,-9.142549310224190595e-02
3.199999754292770149e+01,1.199999620078749416e+02,-4.248618775212221976e+00,-2.210619033927819013e-02,4.041279042865866811e-02,6.787960048506956612e-02
3.200003295186720464e+01,1.200000211985745722e+02,-1.851787297806617616e+01,-3.197994476674838327e-02,7.067001664582845408e-04,4.943375619496535867e-02
