mag_x (uT),mag_y (uT),mag_z (uT)
3.245352310892346281e+01,-3.485358112707551026e+00,3.739870019651509381e+01
3.261252162570028190e+01,-3.509977000210626752e+00,3.761725817960824259e+01
3.249288794112212031e+01,-3.612610192112813312e+00,3.778598310179695829e+01
3.252601690709178683e+01,-3.475158939636417088e+00,3.751015807282480807e+01
3.259149533531205378e+01,-3.600992282777610409e+00,3.757346120402026202e+01
3.263211331041271990e+01,-3.520544930543941575e+00,3.744410333125337331e+01
3.256944048692810156e+01,-3.523081082335206560e+00,3.748159377565301043e+01
3.259404963158880264e+01,-3.466966248614960833e+00,3.767839475632455049e+01
3.253197176548395220e+01,-3.496213815435197603e+00,3.748958723910944713e+01
3.241390723781231742e+01,-3.610984417688132275e+00,3.767238115970761214e+01
3.250249423151890937e+01,-3.467989684014558538e+00,3.758954934134028036e+01
3.261221419835229796e+01,-3.666765929903972765e+00,3.752940221058864978e+01
3.256584217367247902e+01,-3.605337921561701631e+00,3.779816642124279724e+01
3.263089000671602236e+01,-3.470111157379232036e+00,3.749219687165674486e+01
3.259553665790301125e+01,-3.628562050622629709e+00,3.778268291032399162e+01
3.254960316429045974e+01,-3.380411130064931768e+00,3.743105043269137155e+01
3.257239417605937604e+01,-3.586519616276329536e+00,3.761815867462942720e+01
3.265254818365340128e+01,-3.501390478983469112e+00,3.757960277302121455e+01
3.242600524168318543e+01,-3.695907474258324221e+00,3.761607720968658697e+01
3.260427835912272343e+01,-3.522303312444116763e+00,3.759504811262677038e+01
3.262076633892318966e+01,-3.553915973857241006e+00,3.752716719584439886e+01
3.251583332243574631e+01,-3.486415530320351674e+00,3.767681187550877553e+01
3.252672245824282271e+01,-3.527685583081674459e+00,3.761631901317653615e+01
3.270972567587565294e+01,-3.450186875784434726e+00,3.766417515297855800e+01
3.255650736825560898e+01,-3.428154164444260132e+00,3.768643685427269219e+01
3.252563509154344956e+01,-3.791140835081584282e+00,3.758455533247247615e+01
3.272809365300072670e+01,-3.545522583270976913e+00,3.757350431914307620e+01
3.285049461797367343e+01,-3.450411251668092039e+00,3.748099047889694191e+01
3.257262768000328634e+01,-3.645565601709106929e+00,3.747690388912426585e+01
3.260193669451616216e+01,-3.714281679019568294e+00,3.775997966632462521e+01
3.256131107796691282e+01,-3.584751969896921686e+00,3.764017966154745665e+01
3.242159640161749223e+01,-3.495343565566411570e+00,3.737466627303015798e+01
3.256638912352480020e+01,-3.496601516383424091e+00,3.741725291211544402e+01
3.257779739682536047e+01,-3.483051796523040533e+00,3.757637227415723657e+01
3.249426901858272743e+01,-3.618716338185140380e+00,3.755759696880139131e+01
3.250409947204164496e+01,-3.473937123837623986e+00,3.744947348242845919e+01
3.280137853953642946e+01,-3.521188158996532813e+00,3.767199112218615653e+01
3.260863680362160011e+01,-3.655320402940813285e+00,3.758525400536044003e+01
3.262789684801798984e+01,-3.373243911450301891e+00,3.757929527892249411e+01
3.260515643928125940e+01,-3.472810475124426866e+00,3.748914211749117698e+01
3.260582756961619566e+01,-3.709240257870990209e+00,3.745022907579005533e+01
3.271848531354472556e+01,-3.584848580871327517e+00,3.771282028509299522e+01
3.246754978539118497e+01,-3.776478173081461165e+00,3.763547144368047981e+01
3.266917526370843916e+01,-3.454836121739503163e+00,3.744186344098829267e+01
3.259049424046408205e+01,-3.538106230410689612e+00,3.759514121372134809e+01
3.252211985308068876e+01,-3.637666861218937786e+00,3.773588283590990500e+01
3.258108028114476440e+01,-3.649139631294218145e+00,3.759121077775674280e+01
3.255021955783562504e+01,-3.525165040187352883e+00,3.759851571309233265e+01
3.252095941702546611e+01,-3.459548440596356578e+00,3.753755052313903207e+01
3.258439608203196514e+01,-3.377294128258153005e+00,3.758250255606883883e+01
3.274033866309441265e+01,-3.508970095871375872e+00,3.762272505545666235e+01
3.265997466683484873e+01,-3.575384975606102689e+00,3.757787028554359665e+01
3.261506931471156889e+01,-3.575536115820486138e+00,3.746935097527347125e+01
3.253671812019902632e+01,-3.745238509660978377e+00,3.747299744429180635e+01
3.268790037211839916e+01,-3.494843220081729207e+00,3.739082799695149362e+01
3.259254751633093861e+01,-3.536504176361463081e+00,3.757507736083254457e+01
3.251880890629463039e+01,-3.559499938958447629e+00,3.763088521604739611e+01
3.255872748091194069e+01,-3.621402893941076950e+00,3.767540662305106736e+01
3.260985412874029521e+01,-3.739662180542697723e+00,3.745228165639583295e+01
3.250934951790433303e+01,-3.688392837674712155e+00,3.764422366049731039e+01
3.274409139770963151e+01,-3.407104223983729696e+00,3.751484569241156208e+01
3.259492297009818174e+01,-3.369458433291375510e+00,3.740053441082078933e+01
3.255489736068879125e+01,-3.397067807290701236e+00,3.770595844589263379e+01
3.260861468904660398e+01,-3.455655935310506521e+00,3.765073738794796299e+01
3.249635274526271900e+01,-3.830939588619591163e+00,3.757664292022740682e+01
3.266810900138360552e+01,-3.452851206103512816e+00,3.740735230006917078e+01
3.255240814963359952e+01,-3.498016483430591350e+00,3.767535662956769471e+01
3.247677157653442492e+01,-3.519598108402104408e+00,3.754302484669272388e+01
3.258353218274393726e+01,-3.557083362118618197e+00,3.750151753985986858e+01
3.252830138121083792e+01,-3.647512759560783024e+00,3.755874248674068383e+01
3.275804781090980100e+01,-3.552137541461002357e+00,3.755554966482279156e+01
3.265083020150723314e+01,-3.441410868718774552e+00,3.752375827235954375e+01
3.271808500351372828e+01,-3.543015940213187775e+00,3.737393365786449095e+01
3.269056773887229639e+01,-3.683756675243721190e+00,3.755116771956041788e+01
3.262348345265478144e+01,-3.659106849520553428e+00,3.757133946383876832e+01
3.279042381729542655e+01,-3.457278704072566544e+00,3.749777582809544185e+01
3.254490433952138062e+01,-3.674428009801971484e+00,3.745191557448518438e+01
3.262743543689340697e+01,-3.564206044870155132e+00,3.754172421566008921e+01
3.270082692221760112e+01,-3.451874192293370225e+00,3.753246948244145642e+01
3.272056756431942404e+01,-3.485278168404530863e+00,3.762399898991812108e+01
3.261969561453969391e+01,-3.618338301808615043e+00,3.758137456995714842e+01
3.250881952002615094e+01,-3.583596002744511289e+00,3.752725661929110146e+01
3.245413609339411920e+01,-3.697113471401325846e+00,3.753646069109341710e+01
