gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200002873353921018e+01,1.199999923234735917e+02,-1.076869463280909756e+01,2.491356582230467784e-02,-5.926426055114163843e-02,1.555461183925084256e-01
3.199998432387299019e+01,1.200000247727661957e+02,-2.635796909009799904e+00,-4.405764002497043058e-02,4.620264587050153943e-02,2.710516077406363578e-02
3.199996096044089455e+01,1.199999541936646210e+02,5.713689603023963670e+00,-6.385485231144914786e-02,-1.043183209812281326e-01,-7.144432019272910217e-02
3.200004410913431485e+01,1.200000115238522227e+02,-5.411440958891289732e+00,2.932802849314417037e-02,1.791651837066414107e-02,-2.134086154989238773e-02
3.199993566472541318e+01,1.200000058919570023e+02,9.120386276102669498e+00,-4.697925974617747635e-02,4.098232802342229031e-02,4.322051515955709078e-02
3.199997838380474491e+01,1.199999990495284266e+02,1.975158093252662006e+00,-4.912334312018293292e-02,2.621598400463775666e-02,1.192829334225868404e-03
3.200002657759095115e+01,1.199999971749100069e+02,7.707223653260742324e+00,3.514522555119277414e-02,1.665769140480792901e-02,1.219198308152023291e-01
3.200000188387220845e+01,1.200000619959502899e+02,1.550653856947162268e+01,2.000342627998100142e-02,-5.606191518842848498e-02,2.655722919154384840e-02
3.200007149946526397e+01,1.200000992442073908e+02,7.758977185574278401e-02,9.376258330114141393e-02,6.283297349023050926e-02,-3.768931779714924241e-03
3.199995103573262156e+01,1.199999618133992385e+02,-1.242775113210556981e+01,-4.576843573387848196e-02,-9.391244136901348571e-02,-1.172678798018909722e-02
3.200002586078635147e+01,1.200000254712654026e+02,-1.021268693766396396e+01,-7.987920634492202618e-03,3.879544935849776888e-02,-1.128350579149255822e-02
3.199996608463726488e+01,1.199999284108936308e+02,-3.991334199720857789e+00,8.106821849601952845e-02,5.298040454878991112e-02,3.123829654731465066e-02
3.200000886673480949e+01,1.200000765407713317e+02,6.702838488179853726e+00,7.628290536952214707e-02,-8.070292019991631705e-02,-5.237009488031468124e-02
