gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.970913905802981411e-02,-2.202051377973356441e-02,1.023802482159350512e-02
-1.824399881296800696e-01,1.483616983286441815e-01,1.646832135257427498e-01
-4.086034505888365919e-04,1.506321721282091464e-01,1.073304408233060614e-01
1.307825958135415689e-01,3.390803793792791787e-02,2.947328728838025449e-02
-1.469682240383291261e-01,2.050417451237746547e-01,2.814504509633232107e-02
-1.829991256822685874e-01,-1.271142781340052832e-02,1.075313113382454916e-01
-9.074315548346495452e-02,-1.916178217231394587e-01,2.010501894529366507e-01
5.810850928820571193e-02,2.199088949989348035e-02,1.591304433571006649e-01
-7.564866015040835889e-02,1.468870791144592791e-01,-1.742863633876056972e-01
9.974685798783342050e-02,-1.961079632674571915e-01,1.252462769299478862e-01
3.684287607561755745e-02,1.382042705129455859e-02,1.041805503818313827e-01
3.970445063254938317e-02,-8.000490288560581364e-02,-1.343080997410606159e-01
1.278058261149620789e-01,-7.140307188472015676e-02,3.353188599029482270e-02
1.388944333573492174e-01,-3.527733648546876183e-02,-8.726510455199591731e-02
-2.532467422259990220e-01,5.079417684957430318e-02,-5.186077778695406121e-02
1.647854981386827344e-01,-1.432471561543907090e-01,-5.146426096397937328e-02
1.373234808383869687e-01,-7.973664499161282893e-02,-1.198327593426717561e-02
-1.080896028218074623e-01,-1.170284756215674571e-01,-6.184759561232670844e-02
-1.191129257972157879e-01,1.190392728965446456e-01,1.341865993846441674e-01
6.337846681072317745e-02,-9.943663349357390047e-02,8.849234816745153720e-02
3.592110430288439349e-02,-6.900918985737782008e-02,1.059575138229758469e-02
-1.232779126428318155e-03,-1.936044447378870159e-01,-1.621710933304437163e-01
1.488143502728629386e-01,4.152606416184124322e-02,1.267278384138307290e-01
-6.419233983626983220e-02,4.156072642133926132e-02,1.142745559747095907e-01
-1.771428214779553201e-01,-2.949605907033818822e-02,-6.070178027643986091e-02
-2.206769353943860146e-01,-3.203062847059700430e-02,2.294501105485493853e-01
8.930298429424542161e-02,1.659194641070977499e-02,-9.591214546290327894e-03
8.430304755225878632e-02,-2.980724052555483797e-02,-2.578574298952808763e-01
-7.161337807110994269e-02,-4.991717247006967340e-02,9.749527685104085462e-03
-1.240212561094917870e-01,-5.034162798000091366e-02,-1.407449336094979686e-01
-9.112064288955337710e-02,-4.316627815057639400e-02,-8.282913443263564823e-02
1.359559435304072972e-01,-5.146877224344096474e-02,-3.457639848021417106e-01
-6.784785245636588968e-02,-4.958058516896187568e-02,4.412032618906130965e-02
-2.111421319578527800e-01,-3.592824821157337978e-02,2.041559597467506593e-01
9.579381706722482626e-02,2.059650085496803340e-01,1.403389811408991550e-01
1.462211202879709071e-01,-1.040631468515452462e-01,2.966944007989074511e-02
-1.200714885643528428e-02,1.766560169042492509e-02,-1.274926745016153606e-01
7.287939117989201531e-04,1.426673384898602681e-01,2.936373751163151025e-01
3.571244054515630012e-02,5.349279189514601074e-02,8.504941338047956878e-02
2.483686024717211005e-01,-5.492374270918127382e-02,-1.424931399113219532e-01
-1.672547967721113860e-01,-6.566826763639095621e-02,9.119831874673012262e-02
1.376205782587670368e-03,2.048125159350503988e-01,7.162785711097871544e-02
2.004504672085998251e-01,-1.058511668547587742e-01,1.387618158236623433e-01
2.362410174955889910e-02,8.256934113477160109e-02,4.266432720358924457e-02
-4.473356367342024020e-02,1.477232546419778025e-01,2.355343623582472901e-01
-5.595352466723518131e-02,6.020774243427336886e-02,-1.973963216189271730e-01
1.708406887738359026e-01,-6.336345608858522105e-02,1.690534577473107591e-01
5.024613182493360003e-02,1.163292314670179468e-04,-3.484491442033864350e-02
-7.371912105571976070e-02,-7.882164863460954310e-03,2.935516200881861312e-02
-6.819000392661173082e-02,-1.098355101124892652e-02,2.128877403715462580e-01
1.753226738630398185e-01,1.582747672699504060e-01,6.402188779100112526e-02
5.533512254600959218e-02,7.430761740536648632e-03,-2.535021308782698934e-01
-1.164261469343330080e-01,1.421784677177242440e-01,-3.408864633503860819e-02
1.569674929969043162e-02,6.005051945255811263e-02,-1.174300241882985929e-01
-1.350235854991776174e-01,4.048444611350122263e-02,-3.794191558995857472e-02
-1.875856558547536745e-01,-3.825635066932601275e-02,-8.846717791224831262e-02
2.244361103511592626e-01,1.375329360720176641e-01,-1.491930653993935041e-02
8.095917335461104425e-03,-9.241616024147666919e-02,-2.525758109891163006e-01
-1.064737652287221087e-01,5.500880329695486542e-02,-3.814391317598971043e-02
2.912625035028004739e-01,5.186645346679247259e-02,3.318475765684259643e-02
1.946614753896826755e-01,1.584684116159821299e-01,2.670267007628949162e-03
1.333374063342147309e-01,-4.664712619036105734e-02,8.883662598805536909e-03
2.117539731827183108e-02,1.040587428352445221e-01,6.677802881054037409e-02
8.298516464772703882e-02,-6.495659617164709076e-02,-7.081812442443546907e-02
1.724173270393375146e-01,-2.275556132432441647e-01,1.387101895350321135e-01
2.347981458669125623e-02,-3.383041226875971308e-02,1.047766340006152791e-01
9.722778234267955011e-02,-2.962781397271640766e-03,1.188436778892406342e-01
-2.258987688894802948e-01,7.539296774459267048e-02,1.532101624398926609e-01
1.686887829299670016e-01,1.528978286250183005e-01,-6.307002581102205685e-02
-1.808600339939740731e-01,5.042002811965244635e-02,-6.923582021994775793e-02
-7.036966084825066470e-02,1.350571864350086637e-01,-7.978774981518660381e-02
2.471024872518965132e-01,6.841153256411573735e-02,-4.229550165038024195e-02
5.089700685423817483e-02,-3.644378834993786814e-02,-1.545166073998622547e-01
-2.894708490960820266e-02,-1.007874746150293488e-01,-5.656716479208289544e-02
-8.974322396176187544e-02,-2.134959815582922193e-02,-1.557746455411970765e-01
1.563303253956244698e-01,1.256182169603151377e-01,-9.882438221961048486e-02
7.946018673155569312e-02,1.925718971905591159e-01,5.840525226984931428e-02
1.247211225505946534e-02,1.640362501459900410e-02,1.758660152227800311e-01
-3.827224422071227872e-02,-8.243490260585951968e-02,9.139263892141275686e-03
8.176047160497729172e-02,-1.010566612616279336e-01,-1.719708804937786495e-01
8.800442879232549254e-02,-1.367922360009889149e-01,5.530267313513402561e-02
-3.040360879877495454e-02,2.821492059504807082e-02,-1.102247505173188230e-01
-1.579845677689864503e-01,-3.404245395718825083e-03,7.082170772911207390e-02
-1.041390317103396829e-01,9.193089592727798909e-03,-8.722483345269169130e-02
-1.547773467618608068e-01,-2.827899313767975875e-01,1.931661464341933865e-01
-7.083313693078575890e-02,-1.286548670334939359e-01,1.187681735150607600e-03
9.766814861372104251e-02,-1.435317349484505345e-01,2.990525057515480006e-02
4.757584842726816747e-03,-7.091637369416563252e-02,-9.848861666547317761e-02
1.114490133974280484e-01,-1.633834142155495550e-01,6.513222467142198990e-03
-5.416093065782345145e-02,-2.237115551391874024e-03,-2.639614384834612984e-02
5.474119106438826016e-02,9.513884505553101001e-02,8.597802225178124980e-02
-5.227960480808305221e-02,-5.676412518038921606e-02,-2.016697010664621481e-01
4.340478219064697329e-02,-5.866685439969907684e-02,2.014415675508878234e-01
-3.046541199762692678e-02,-9.828861296367259748e-02,-1.317460561327921942e-01
2.712727460101353998e-03,2.128451887011213461e-01,6.180582213911038625e-02
-5.095731334736105199e-03,6.237822526080674668e-02,-4.530002041209026109e-02
-7.197808924282392273e-02,7.213191449298225755e-02,-2.224511343002296901e-02
6.604965120360237370e-03,-3.487430444189996981e-02,7.709942247277540295e-02
-9.999263525151357024e-02,-1.316606177717972725e-01,5.447079482788735882e-02
-1.423743815867828111e-01,-7.263726487568013257e-02,1.091416792774545091e-01
-2.768120001135739722e-02,-1.596661794751611518e-01,1.393339810899852649e-01
-2.298583765786194610e-01,-1.287019097093443087e-01,-6.440907547135908684e-02
2.085261243587721858e-01,1.198799457576466415e-01,-2.265582270826232703e-01
-1.826189599107152783e-01,5.610635089934874059e-02,5.827629479024652032e-02
-9.324642528186481705e-02,-5.454642666422087477e-02,8.089291098774226835e-03
9.985069403206627003e-02,5.081457523983178709e-02,9.193257543619479111e-02
9.915311579704076672e-02,9.261839986476816389e-02,-1.608119015488502709e-02
-1.936740599817402819e-01,-5.259514822624451746e-02,-9.672204365609406163e-02
-2.814624400010692223e-02,-9.916796282860158851e-02,-5.913183233445806070e-02
-2.813824104708235185e-01,-9.474363390301827892e-02,6.985445401699302836e-02
-8.019134347661693862e-02,-3.197757528994618070e-01,4.032851586273404620e-02
-6.870846260749841755e-03,-4.923192505679652164e-02,1.020887478410490157e-01
1.395023243679371083e-01,3.380480914355576960e-02,-1.986325996619345280e-01
9.460672771696762573e-02,-1.975348080051399502e-01,8.783814119458770164e-03
-7.728159498126739579e-02,2.090868492862822947e-01,-7.734243200309290356e-02
-1.433671014851790049e-01,-8.245782299741903631e-02,1.795794249273764132e-01
-2.438198702850920187e-03,-1.376233855865498842e-03,6.949325927162780525e-02
-8.926817787794293080e-02,2.736072611305305491e-02,9.312875071123465076e-02
-5.537720170008759990e-02,1.125108550266541857e-01,-1.646676819503429812e-01
