accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-6.458965011574443332e-03,1.277451731967339105e-02,-9.801212271082350824e+00
-5.577227132896268348e-03,-7.634859075160810651e-03,-9.793669253289642995e+00
-4.775715462100495710e-03,4.102708251278366219e-03,-9.805649255564027555e+00
-6.332998033586599920e-03,-2.030745580873210675e-03,-9.786322307491357009e+00
1.666811871671285529e-03,7.012308064404642292e-03,-9.802318269095907866e+00
1.195176016582219156e-03,8.896149436080566519e-03,-9.803566752727606470e+00
-2.648425053548170496e-03,-8.310288026747846436e-04,-9.799336504572185191e+00
-8.841187153831965096e-04,1.217740648777658127e-02,-9.798869499400892025e+00
2.851820997279741563e-03,-1.022823680463852414e-02,-9.789269488967182298e+00
5.236941679286785840e-03,4.257435654519400869e-03,-9.795750805648197002e+00
-1.817633867011438434e-02,-4.627795913224112302e-03,-9.782116562833763851e+00
1.179854428930844287e-02,1.225684837481011598e-02,-9.800132647977715550e+00
3.948926143041941962e-04,1.157372756801502284e-02,-9.792097376746728088e+00
-9.059781923339744331e-03,6.536111921219855438e-04,-9.787143881776877663e+00
1.780456107422060102e-03,-1.800641480502441702e-02,-9.793735973232475800e+00
5.987825390381874835e-03,3.532976542036624090e-04,-9.791853947847080519e+00
2.255732498081548104e-02,-2.472610389669103494e-03,-9.792507971551376755e+00
-4.434621444836885779e-03,-9.747239546489304754e-04,-9.788193278479255355e+00
4.958194887014623180e-03,-1.170380211419140039e-02,-9.798062486761818235e+00
-8.587837244013806631e-03,-7.594845881937041000e-03,-9.796391663749114187e+00
2.508032935379950028e-03,6.832330582878547685e-03,-9.799221773660287127e+00
1.938901710558491205e-03,1.298391296417882512e-03,-9.812510672001813816e+00
3.749883098750786924e-03,-1.235513829843858493e-03,-9.778969645717980441e+00
2.955233038338099440e-03,-9.719483831843315699e-03,-9.811441073235505073e+00
-9.866621040957836847e-03,-1.335025303746088798e-02,-9.802218066900383775e+00
2.008869552388166738e-02,-2.473238057267235224e-03,-9.791249009888083776e+00
3.797589421785027997e-03,8.202949523583507457e-03,-9.803374582155690575e+00
1.710516802932126581e-04,3.865774947354583442e-03,-9.799799860519069483e+00
-6.598363672228406938e-03,-1.044840668218544738e-03,-9.797235736211916901e+00
-9.044450966985749171e-03,1.961056307290729838e-03,-9.793815647310259109e+00
-9.843523570975754380e-04,-3.755683429942846194e-03,-9.798399202823786069e+00
3.776711684337929077e-03,3.631011867346223992e-04,-9.796865064315849025e+00
1.199459080860885637e-03,-7.093338961487363932e-03,-9.775252802729017532e+00
-1.322853243714904210e-02,1.128075614695331526e-02,-9.798729589072079804e+00
8.408057162717124527e-03,-9.729379241132717765e-03,-9.804562663164704261e+00
-1.172520148967010935e-02,1.324045512520128373e-03,-9.783812338463214076e+00
-8.320982089253607314e-03,-3.364854558055564455e-03,-9.807799997661925673e+00
-1.030275616619582071e-02,3.844939334023463745e-04,-9.798321484071978560e+00
-1.333745333564985772e-02,1.273867235526654311e-03,-9.783013016818992824e+00
1.015789376115113461e-02,1.006573324934310031e-02,-9.791927387771155011e+00
8.134565175635736708e-03,5.671173556105920700e-03,-9.794030649179651604e+00
-3.895840391129216929e-03,9.199929322936449202e-03,-9.800095241919759559e+00
1.839982101329868530e-04,4.810728229344606900e-03,-9.781330815157609493e+00
-3.862649519593057933e-03,-1.272275184676052457e-03,-9.787684836253578879e+00
-5.042684642082002552e-03,-1.254987978263136413e-02,-9.798045573566712463e+00
-3.498741056306505122e-03,-3.481639140933296414e-04,-9.801752809898641061e+00
-2.666618417850912231e-03,-5.597439572622720134e-03,-9.799891598774436829e+00
8.913557666019110426e-03,-6.449937750840162385e-04,-9.797764397735063469e+00
1.393836935199119394e-02,-1.481475613375884265e-02,-9.803841442021052899e+00
4.417427538134560162e-03,1.351905238728891810e-02,-9.805570531808665891e+00
-1.675624175978750359e-03,1.102936083499058469e-03,-9.786742162768597098e+00
4.128441123383655995e-04,9.988486221746379484e-03,-9.805923956987955492e+00
3.014511796618703937e-04,-5.990359300115468723e-03,-9.800278400012905067e+00
-6.049226031929419607e-03,-1.038492811632038028e-02,-9.800492345322671994e+00
-6.307215022162358450e-03,1.110947317983987208e-02,-9.790872402027451571e+00
-5.633813948479808251e-03,-7.775588256987854552e-03,-9.790264951069513444e+00
8.102295453342176976e-03,2.658428220599325705e-03,-9.804422242295851575e+00
-3.735189467469238970e-04,5.764739451595963377e-03,-9.810979217742067604e+00
1.606062271297052646e-02,3.657418406349658303e-03,-9.791225760127836963e+00
-2.664942652167387373e-03,-1.021911676390837263e-02,-9.775022096037993435e+00
-9.945066485443437854e-03,-1.103467185994553429e-02,-9.794330718531172764e+00
1.175945607878954753e-02,-4.315511047599789735e-03,-9.796862175957148366e+00
-1.377212952928705963e-02,-3.992743237094790835e-03,-9.792139233197005410e+00
6.100667030125042807e-03,-5.364167309500077023e-03,-9.797477882596053789e+00
-1.904498730881549638e-03,-7.461331740662622246e-04,-9.795421727710039050e+00
6.869202910012616944e-03,-6.868231943202282586e-03,-9.800482717623118845e+00
-4.832422426229623924e-03,-1.493121246076881993e-03,-9.791238712664817712e+00
-6.733628226327420530e-03,-1.001701150706786614e-02,-9.798698785724416993e+00
-5.884119093933530380e-03,7.319853760629001053e-03,-9.790745488877702130e+00
-8.185346304003854670e-03,2.693620122938549400e-03,-9.801747890493613724e+00
7.187991079527448340e-04,8.579050983173304445e-03,-9.797006920991758960e+00
1.450250725178939618e-02,-8.161674470448859395e-03,-9.796023784605552009e+00
-1.699992439668492755e-02,1.680205549137094674e-03,-9.806038825163936323e+00
-1.300560654166424412e-02,-8.993306623088585458e-03,-9.783273956320989839e+00
-6.502373858904954632e-03,-3.088838655237282401e-03,-9.795048550344860772e+00
-6.677720954351581105e-03,1.881803254512236234e-02,-9.791095187114974507e+00
-8.788564987617214150e-03,-4.341485007210299160e-03,-9.795694410707159960e+00
4.596833190301618903e-03,-2.065354128975265338e-02,-9.795693682049700257e+00
2.011299471689072759e-04,-2.529530070382768944e-03,-9.795845743139521389e+00
2.263346132821746765e-02,3.054280845726329609e-03,-9.812272338468645216e+00
-2.326238188277429675e-03,1.066252796787440192e-02,-9.785727299077294106e+00
-7.817917519722964934e-03,-9.106410819350173325e-03,-9.798166967076468836e+00
7.412316838912710523e-04,4.077381345518584811e-03,-9.784413483153699076e+00
1.081137577458522839e-04,-9.063772231596131700e-04,-9.799286381707663196e+00
2.048256192343548242e-03,-7.768335477609502639e-03,-9.803146689917820567e+00
9.170637512747496084e-03,-9.301169926339752708e-04,-9.785632088987490818e+00
-9.951785286965280633e-05,-8.586470362273404544e-03,-9.792109413885443203e+00
3.320323494422229961e-04,2.262653901147310305e-03,-9.793915895585035614e+00
-1.814396362513259016e-03,3.955736469423992360e-03,-9.780399569247466118e+00
-1.811056618499003873e-02,-7.490630937199260764e-03,-9.794490352817049938e+00
-1.206239050597051644e-02,-5.969009984723306315e-03,-9.778743409333822356e+00
-6.604798253609740245e-03,-5.880073696341861327e-03,-9.799720555367031238e+00
5.819801085346581679e-03,-4.826818050716030414e-03,-9.807918828317131243e+00
-6.896687023206129596e-04,1.013896924997160533e-02,-9.783783791833776888e+00
5.389479787181475356e-03,-9.856507683878169834e-03,-9.792265138880027919e+00
3.871810315843881699e-03,-8.337829985806790092e-03,-9.796272700215826745e+00
4.128140979292137594e-03,-9.945168623199942062e-03,-9.789246485267836917e+00
2.759037878169002351e-04,-1.722092811390001999e-03,-9.798210215377419985e+00
7.187274079608341193e-04,3.754229306286952818e-03,-9.794400041483948272e+00
-4.782465290761325565e-04,1.304648500217486101e-02,-9.795597260368198889e+00
-5.073198134004910584e-03,1.153380520466321980e-02,-9.796191167019173918e+00
3.455721697538033117e-03,-1.949647101760456930e-03,-9.797049927322710516e+00
-3.594906953963844694e-03,-1.453008744370980904e-02,-9.788683577840558314e+00
-2.377907654450697912e-03,-4.458086355870534423e-03,-9.798577121386831124e+00
-9.288672646967609248e-04,1.761481330122210238e-03,-9.783200532321455256e+00
-8.082193202940811394e-03,8.973743798121789315e-04,-9.803111453430222610e+00
1.526916352835971762e-02,-6.521750549597350906e-03,-9.784663025057080077e+00
2.363273714892084702e-03,-2.674534412084856368e-03,-9.792609338581476308e+00
-3.539936423382063387e-03,-5.543294033404472590e-03,-9.799424181634671882e+00
8.978451449317369475e-04,5.187975648719629282e-03,-9.820852971873067716e+00
-1.598117988489490549e-02,-3.048582226746073508e-03,-9.802008806056232260e+00
-5.492515995791306949e-03,9.160039991690563030e-03,-9.801944071542372683e+00
-5.260626765894574342e-03,-8.277539849820502154e-05,-9.787498346980671116e+00
-1.339520344495387805e-03,-6.872813430519573302e-03,-9.794710817947079207e+00
-7.272580736911156939e-03,1.490878639141008863e-02,-9.794514054980586693e+00
-1.287982545763013097e-02,4.109434163521877813e-03,-9.798089730889474325e+00
2.194980237199962384e-03,-1.008822785984841465e-02,-9.799314021205351111e+00
-4.397160281575347891e-03,4.839561788536894671e-03,-9.803311479125291328e+00
1.839845317396461913e-02,-1.047669245271636192e-02,-9.807381519760202337e+00
2.241855568535949285e-03,4.746185742013971955e-03,-9.786591316623182379e+00
2.363521583326772674e-02,-1.774217023260250522e-03,-9.789924454705710488e+00
1.855035956704554224e-03,-6.457094840584673076e-04,-9.785740259654732043e+00
-6.933180942354930576e-04,-6.455733509150718072e-03,-9.781482920085551314e+00
-4.957408701702457378e-03,3.546835379399537313e-03,-9.786510351316312750e+00
-7.939273342751806267e-03,1.437803911033810542e-02,-9.782048010541677385e+00
2.518136437484214465e-03,-5.528662171321993210e-04,-9.805262818337075359e+00
-7.717143311505149025e-03,1.004984055552912009e-02,-9.795211234661911348e+00
4.413173683588846713e-04,-9.477987844395702882e-03,-9.799012226583245777e+00
6.916799696608257574e-03,-4.023087134483388679e-03,-9.793639982003853106e+00
-6.543088728456087841e-03,-4.850099780987510850e-03,-9.791567086346855575e+00
-2.051429350757517922e-02,-6.517874019841968236e-03,-9.799032855168308132e+00
-4.165040995943059422e-04,-1.613881961366853829e-02,-9.781800861028834504e+00
-3.723630822886089473e-03,8.686760672343041452e-04,-9.791383036120299366e+00
3.065809996232729626e-03,-1.489751771389270698e-03,-9.794413018190791576e+00
-4.361595455361043372e-03,-2.176747911686718884e-03,-9.792824426832821061e+00
1.403679634364351364e-02,-1.663324665980513888e-03,-9.800382902127514839e+00
2.399759127830878268e-03,-1.148200915358581382e-02,-9.788522663440058835e+00
1.295742955782199814e-02,-9.392431823953585612e-03,-9.798887294327162323e+00
-4.316318432323539359e-03,-3.605734481941149944e-03,-9.795853532632923688e+00
-8.789848857511170857e-03,1.624891878817336099e-02,-9.798223409016525665e+00
-5.847518305342976064e-03,3.456998721944785826e-03,-9.806915115504821756e+00
-6.849671808131190323e-03,-2.751362709924514392e-03,-9.794070355402116235e+00
3.892418294927567097e-03,-1.900833496926861155e-02,-9.790129053156411132e+00
-8.964226361275690405e-03,9.287765197669497000e-03,-9.807039392918683873e+00
-8.473599651183086681e-03,-5.011167128217163848e-03,-9.793289473080859509e+00
-2.852055669843819342e-03,7.772302917171323945e-04,-9.795364625099974631e+00
-1.504724639856518283e-02,-5.481746377429682140e-03,-9.782222494710449467e+00
-1.290672335296227068e-02,-6.572453737451384483e-03,-9.787658051947568438e+00
1.627862720946512010e-03,-1.103391721210786628e-03,-9.792295806223515697e+00
2.688132182854947958e-03,-5.807055041711047146e-03,-9.797581140230947838e+00
-7.489726910480884632e-03,-2.379027859327320811e-03,-9.800756277660799043e+00
1.558391930767083749e-03,-4.429455627404454456e-03,-9.797296974492210708e+00
-3.377996211283536537e-03,-2.416702619966112041e-03,-9.795005264701414305e+00
3.564433092080231992e-03,5.344888959812305919e-03,-9.802934768557834744e+00
-3.648047703842642771e-03,1.164906714513688248e-02,-9.798533906996500065e+00
-5.652283922367229603e-03,9.039189024242014203e-03,-9.784458189520446325e+00
1.110244619668645421e-03,-9.368828376023799823e-03,-9.785197415675440880e+00
-1.101753812930323859e-02,-1.927232691311060991e-03,-9.789866510667932786e+00
